"author","TE","seTE","treat1","treat2","treat1.long","treat2.long","versus"
"Ausbun, 1997",0.092,0.195,"ind","grp","Individual","Group","ind vs grp"
"Crable, 1986",-0.675,0.35,"ind","grp","Individual","Group","ind vs grp"
"Thiede, 2011",-0.107,0.198,"ind","grp","Individual","Group","ind vs grp"
"Bonertz, 2015",-0.09,0.324,"ind","grp","Individual","Group","ind vs grp"
"Joy, 2002",-0.135,0.453,"ind","grp","Individual","Group","ind vs grp"
"Jones, 2013",-0.217,0.289,"ind","grp","Individual","Group","ind vs grp"
"Aaron, 2004",0.103,0.401,"ind","grp","Individual","Group","ind vs grp"
"Breiman, 2001",-0.085,0.516,"ind","gsh","Individual","Guided Self-Help","Breiman, 2001"
"Lucero, 2001",-0.052,0.5,"ind","gsh","Individual","Guided Self-Help","ind vs gsh"
"Amsberry, 2010",-0.109,0.413,"ind","gsh","Individual","Guided Self-Help","ind vs gsh"
"Robinson, 2015",-0.128,0.256,"ind","gsh","Individual","Guided Self-Help","ind vs gsh"
"Burgan, 2012",-0.311,0.139,"ind","tel","Individual","Telephone","ind vs tel"
"Belk, 1986",-0.177,0.083,"ind","tel","Individual","Telephone","ind vs tel"
"Ledbetter, 1984",-0.008,0.231,"ind","tel","Individual","Telephone","ind vs tel"
"Narum, 1986",0.039,0.338,"ind","tel","Individual","Telephone","ind vs tel"
"Breiman, 2001",-0.75,0.513,"ind","wlc","Individual","Waitlist","Breiman, 2001"
"Wierenga, 2004",-1.438,0.357,"ind","wlc","Individual","Waitlist","ind vs wlc"
"Eisenberg, 1995",-0.509,0.06,"ind","wlc","Individual","Waitlist","ind vs wlc"
"Scholer, 2017",-0.965,0.443,"ind","wlc","Individual","Waitlist","ind vs wlc"
"Schlaver, 2004",-1.156,0.344,"ind","wlc","Individual","Waitlist","ind vs wlc"
"Riley, 2002",-1.402,0.28,"ind","wlc","Individual","Waitlist","ind vs wlc"
"Barker, 1997",-0.983,0.179,"ind","wlc","Individual","Waitlist","ind vs wlc"
"Dewitt, 1995",-1.207,0.374,"ind","wlc","Individual","Waitlist","ind vs wlc"
"De Venecia, 2011",-0.921,0.391,"ind","wlc","Individual","Waitlist","ind vs wlc"
